,well_irrigated
2005-11-14,7682
2005-11-15,7682
2005-11-16,7682
2005-11-17,7682
2005-11-18,7682
2005-11-19,7682
2005-11-20,7682
2005-11-21,7682
2005-11-22,7682
2005-11-23,7682
2005-11-24,7682
2005-11-25,7682
2005-11-26,7682
2005-11-27,7682
2005-11-28,7682
2005-11-29,7682
2005-11-30,7682
2005-12-01,7682
2005-12-02,7682
2005-12-03,7682
2005-12-04,7682
2005-12-05,7682
2005-12-06,7682
2005-12-07,7682
2005-12-08,7682
2005-12-09,7682
2005-12-10,7682
2005-12-11,7682
2005-12-12,7682
2005-12-13,7682
2005-12-14,7682
2005-12-15,7682
2005-12-16,7682
2005-12-17,7682
2005-12-18,7682
2005-12-19,7682
2005-12-20,7682
2005-12-21,7682
2005-12-22,7682
2005-12-23,7682
2005-12-24,7682
2005-12-25,7682
2005-12-26,7682
2005-12-27,7682
2005-12-28,7682
2005-12-29,7682
2005-12-30,7682
2005-12-31,7682
2006-01-01,7682
